offset analytical, V
0.0618919, 0.523202
0.0621229, 0.523289
0.0623538, 0.523375
0.0625848, 0.523462
0.0628157, 0.523548
0.0630466, 0.523635
0.0632776, 0.523721
0.0635085, 0.523808
0.0637395, 0.523894
0.0639704, 0.523981
0.0642013, 0.524067
0.0644323, 0.524154
0.0646632, 0.52424
0.0648942, 0.524327
0.0651251, 0.524413
0.0653561, 0.5245
0.065587, 0.524586
0.0658179, 0.524673
0.0660489, 0.524759
0.0662798, 0.524846
0.0665108, 0.524932
0.0667417, 0.525019
0.0669726, 0.525105
0.0672036, 0.525192
0.0674345, 0.525278
0.0676655, 0.525365
0.0678964, 0.525451
0.0681273, 0.525538
0.0683583, 0.525624
0.0685892, 0.525711
0.0688202, 0.525797
0.0690511, 0.525884
0.069282, 0.52597
0.069513, 0.526057
0.0697439, 0.526143
0.0699749, 0.52623
0.0702058, 0.526316
0.0704367, 0.526403
0.0706677, 0.526489
0.0708986, 0.526576
0.0711296, 0.526662
0.0713605, 0.526749
0.0715914, 0.526835
0.0718224, 0.526922
0.0720533, 0.527008
0.0722843, 0.527095
0.0725152, 0.527181
0.0727461, 0.527268
0.0729771, 0.527354
0.073208, 0.527441
0.073439, 0.527527
0.0736699, 0.527614
0.0739008, 0.5277
0.0741318, 0.527787
0.0743627, 0.527873
0.0745937, 0.52796
0.0748246, 0.528046
0.0750555, 0.528133
0.0752865, 0.528219
0.0755174, 0.528306
0.0757484, 0.528392
0.0759793, 0.528479
0.0762102, 0.528565
0.0764412, 0.528651
0.0766721, 0.528738
0.0769031, 0.528824
0.077134, 0.528911
0.0773649, 0.528997
0.0775959, 0.529084
0.0778268, 0.52917
0.0780578, 0.529257
0.0782887, 0.529343
0.0785196, 0.52943
0.0787506, 0.529516
0.0789815, 0.529603
0.0792125, 0.529689
0.0794434, 0.529776
0.0796743, 0.529862
0.0799053, 0.529949
0.0801362, 0.530035
0.0803672, 0.530121
0.0805981, 0.530208
0.080829, 0.530294
0.08106, 0.530381
0.0812909, 0.530467
0.0815219, 0.530554
0.0817528, 0.53064
0.0819837, 0.530727
0.0822147, 0.530813
0.0824456, 0.5309
0.0826766, 0.530986
0.0829075, 0.531073
0.0831384, 0.531159
0.0833694, 0.531245
0.0836003, 0.531332
0.0838313, 0.531418
0.0840622, 0.531505
0.0842931, 0.531591
0.0845241, 0.531678
0.084755, 0.531764
0.084986, 0.531851
0.0852169, 0.531937
0.0854478, 0.532023
0.0856788, 0.53211
0.0859097, 0.532196
0.0861407, 0.532283
0.0863716, 0.532369
0.0866025, 0.532456
0.0868335, 0.532542
0.0870644, 0.532629
0.0872954, 0.532715
0.0875263, 0.532801
0.0877572, 0.532888
0.0879882, 0.532974
0.0882191, 0.533061
0.0884501, 0.533147
0.088681, 0.533234
0.0889119, 0.53332
0.0891429, 0.533406
0.0893738, 0.533493
0.0896048, 0.533579
0.0898357, 0.533666
0.0900666, 0.533752
0.0902976, 0.533839
0.0905285, 0.533925
0.0907595, 0.534011
0.0909904, 0.534098
0.0912213, 0.534184
0.0914523, 0.534271
0.0916832, 0.534357
0.0919142, 0.534444
0.0921451, 0.53453
0.092376, 0.534616
0.092607, 0.534703
0.0928379, 0.534789
0.0930689, 0.534876
0.0932998, 0.534962
0.0935307, 0.535048
0.0937617, 0.535135
0.0939926, 0.535221
0.0942236, 0.535308
0.0944545, 0.535394
0.0946854, 0.535481
0.0949164, 0.535567
0.0951473, 0.535653
0.0953783, 0.53574
0.0956092, 0.535826
0.0958401, 0.535913
0.0960711, 0.535999
0.096302, 0.536085
0.096533, 0.536172
0.0967639, 0.536258
0.0969948, 0.536345
0.0972258, 0.536431
0.0974567, 0.536517
0.0976877, 0.536604
0.0979186, 0.53669
0.0981495, 0.536777
0.0983805, 0.536863
0.0986114, 0.536949
0.0988424, 0.537036
0.0990733, 0.537122
0.0993042, 0.537208
0.0995352, 0.537295
0.0997661, 0.537381
0.0999971, 0.537468
0.100228, 0.537554
0.100459, 0.53764
0.10069, 0.537727
0.100921, 0.537813
0.101152, 0.5379
0.101383, 0.537986
0.101614, 0.538072
0.101845, 0.538159
0.102076, 0.538245
0.102306, 0.538331
0.102537, 0.538418
0.102768, 0.538504
0.102999, 0.538591
0.10323, 0.538677
0.103461, 0.538763
0.103692, 0.53885
0.103923, 0.538936
0.104154, 0.539022
0.104385, 0.539109
0.104616, 0.539195
0.104847, 0.539282
0.105078, 0.539368
0.105309, 0.539454
0.10554, 0.539541
0.105771, 0.539627
0.106002, 0.539713
0.106232, 0.5398
0.106463, 0.539886
0.106694, 0.539972
0.106925, 0.540059
0.107156, 0.540145
0.107387, 0.540231
0.107618, 0.540318
0.107849, 0.540404
0.10808, 0.540491
0.108311, 0.540577
0.108542, 0.540663
0.108773, 0.54075
0.109004, 0.540836
0.109235, 0.540922
0.109466, 0.541009
0.109697, 0.541095
0.109927, 0.541181
0.110158, 0.541268
0.110389, 0.541354
0.11062, 0.54144
0.110851, 0.541527
0.111082, 0.541613
0.111313, 0.541699
0.111544, 0.541786
0.111775, 0.541872
0.112006, 0.541958
0.112237, 0.542045
0.112468, 0.542131
0.112699, 0.542217
0.11293, 0.542304
0.113161, 0.54239
0.113392, 0.542476
0.113623, 0.542563
0.113853, 0.542649
0.114084, 0.542735
0.114315, 0.542822
0.114546, 0.542908
0.114777, 0.542994
0.115008, 0.543081
0.115239, 0.543167
0.11547, 0.543253
0.115701, 0.543339
0.115932, 0.543426
0.116163, 0.543512
0.116394, 0.543598
0.116625, 0.543685
0.116856, 0.543771
0.117087, 0.543857
0.117318, 0.543944
0.117549, 0.54403
0.117779, 0.544116
0.11801, 0.544203
0.118241, 0.544289
0.118472, 0.544375
0.118703, 0.544461
0.118934, 0.544548
0.119165, 0.544634
0.119396, 0.54472
0.119627, 0.544807
0.119858, 0.544893
0.120089, 0.544979
0.12032, 0.545065
0.120551, 0.545152
0.120782, 0.545238
0.121013, 0.545324
0.121244, 0.545411
0.121474, 0.545497
0.121705, 0.545583
0.121936, 0.545669
0.122167, 0.545756
0.122398, 0.545842
0.122629, 0.545928
0.12286, 0.546015
0.123091, 0.546101
0.123322, 0.546187
0.123553, 0.546273
0.123784, 0.54636
0.124015, 0.546446
0.124246, 0.546532
0.124477, 0.546618
0.124708, 0.546705
0.124939, 0.546791
0.12517, 0.546877
0.1254, 0.546964
0.125631, 0.54705
0.125862, 0.547136
0.126093, 0.547222
0.126324, 0.547309
0.126555, 0.547395
0.126786, 0.547481
0.127017, 0.547567
0.127248, 0.547654
0.127479, 0.54774
0.12771, 0.547826
0.127941, 0.547912
0.128172, 0.547999
0.128403, 0.548085
0.128634, 0.548171
0.128865, 0.548257
0.129096, 0.548344
0.129326, 0.54843
0.129557, 0.548516
0.129788, 0.548602
0.130019, 0.548689
0.13025, 0.548775
0.130481, 0.548861
0.130712, 0.548947
0.130943, 0.549033
0.131174, 0.54912
0.131405, 0.549206
0.131636, 0.549292
0.131867, 0.549378
0.132098, 0.549465
0.132329, 0.549551
0.13256, 0.549637
0.132791, 0.549723
0.133022, 0.54981
0.133252, 0.549896
0.133483, 0.549982
0.133714, 0.550068
0.133945, 0.550154
0.134176, 0.550241
0.134407, 0.550327
0.134638, 0.550413
0.134869, 0.550499
0.1351, 0.550585
0.135331, 0.550672
0.135562, 0.550758
0.135793, 0.550844
0.136024, 0.55093
0.136255, 0.551016
0.136486, 0.551103
0.136717, 0.551189
0.136947, 0.551275
0.137178, 0.551361
0.137409, 0.551447
0.13764, 0.551534
0.137871, 0.55162
0.138102, 0.551706
0.138333, 0.551792
0.138564, 0.551878
0.138795, 0.551965
0.139026, 0.552051
0.139257, 0.552137
0.139488, 0.552223
0.139719, 0.552309
0.13995, 0.552395
0.140181, 0.552482
0.140412, 0.552568
0.140643, 0.552654
0.140873, 0.55274
0.141104, 0.552826
0.141335, 0.552913
0.141566, 0.552999
0.141797, 0.553085
0.142028, 0.553171
0.142259, 0.553257
0.14249, 0.553343
0.142721, 0.55343
0.142952, 0.553516
0.143183, 0.553602
0.143414, 0.553688
0.143645, 0.553774
0.143876, 0.55386
0.144107, 0.553946
0.144338, 0.554033
0.144569, 0.554119
0.144799, 0.554205
0.14503, 0.554291
0.145261, 0.554377
0.145492, 0.554463
0.145723, 0.55455
0.145954, 0.554636
0.146185, 0.554722
0.146416, 0.554808
0.146647, 0.554894
0.146878, 0.55498
0.147109, 0.555066
0.14734, 0.555152
0.147571, 0.555239
0.147802, 0.555325
0.148033, 0.555411
0.148264, 0.555497
0.148494, 0.555583
0.148725, 0.555669
0.148956, 0.555755
0.149187, 0.555841
0.149418, 0.555928
0.149649, 0.556014
0.14988, 0.5561
0.150111, 0.556186
0.150342, 0.556272
0.150573, 0.556358
0.150804, 0.556444
0.151035, 0.55653
0.151266, 0.556617
0.151497, 0.556703
0.151728, 0.556789
0.151959, 0.556875
0.15219, 0.556961
0.15242, 0.557047
0.152651, 0.557133
0.152882, 0.557219
0.153113, 0.557305
0.153344, 0.557391
0.153575, 0.557477
0.153806, 0.557564
0.154037, 0.55765
0.154268, 0.557736
0.154499, 0.557822
0.15473, 0.557908
0.154961, 0.557994
0.155192, 0.55808
0.155423, 0.558166
0.155654, 0.558252
0.155885, 0.558338
0.156116, 0.558424
0.156346, 0.55851
0.156577, 0.558597
0.156808, 0.558683
0.157039, 0.558769
0.15727, 0.558855
0.157501, 0.558941
0.157732, 0.559027
0.157963, 0.559113
0.158194, 0.559199
0.158425, 0.559285
0.158656, 0.559371
0.158887, 0.559457
0.159118, 0.559543
0.159349, 0.559629
0.15958, 0.559715
0.159811, 0.559801
0.160041, 0.559887
0.160272, 0.559974
0.160503, 0.56006
0.160734, 0.560146
0.160965, 0.560232
0.161196, 0.560318
0.161427, 0.560404
0.161658, 0.56049
0.161889, 0.560576
0.16212, 0.560662
0.162351, 0.560748
0.162582, 0.560834
0.162813, 0.56092
0.163044, 0.561006
0.163275, 0.561092
0.163506, 0.561178
0.163737, 0.561264
0.163967, 0.56135
0.164198, 0.561436
0.164429, 0.561522
0.16466, 0.561608
0.164891, 0.561694
0.165122, 0.56178
0.165353, 0.561866
0.165584, 0.561952
0.165815, 0.562038
0.166046, 0.562124
0.166277, 0.56221
0.166508, 0.562296
0.166739, 0.562382
0.16697, 0.562468
0.167201, 0.562554
0.167432, 0.56264
0.167663, 0.562726
0.167893, 0.562812
0.168124, 0.562898
0.168355, 0.562984
0.168586, 0.56307
0.168817, 0.563156
0.169048, 0.563242
0.169279, 0.563328
0.16951, 0.563414
0.169741, 0.5635
0.169972, 0.563586
0.170203, 0.563672
0.170434, 0.563758
0.170665, 0.563844
0.170896, 0.56393
0.171127, 0.564016
0.171358, 0.564102
0.171589, 0.564188
0.171819, 0.564274
0.17205, 0.56436
0.172281, 0.564446
0.172512, 0.564532
0.172743, 0.564618
0.172974, 0.564704
0.173205, 0.56479
0.173436, 0.564875
0.173667, 0.564961
0.173898, 0.565047
0.174129, 0.565133
0.17436, 0.565219
0.174591, 0.565305
0.174822, 0.565391
0.175053, 0.565477
0.175284, 0.565563
0.175514, 0.565649
0.175745, 0.565735
0.175976, 0.565821
0.176207, 0.565907
0.176438, 0.565993
0.176669, 0.566079
0.1769, 0.566165
0.177131, 0.56625
0.177362, 0.566336
0.177593, 0.566422
0.177824, 0.566508
0.178055, 0.566594
0.178286, 0.56668
0.178517, 0.566766
0.178748, 0.566852
0.178979, 0.566938
0.17921, 0.567024
0.17944, 0.56711
0.179671, 0.567196
0.179902, 0.567281
0.180133, 0.567367
0.180364, 0.567453
0.180595, 0.567539
0.180826, 0.567625
0.181057, 0.567711
0.181288, 0.567797
0.181519, 0.567883
0.18175, 0.567969
0.181981, 0.568054
0.182212, 0.56814
0.182443, 0.568226
0.182674, 0.568312
0.182905, 0.568398
0.183136, 0.568484
0.183366, 0.56857
0.183597, 0.568656
0.183828, 0.568741
0.184059, 0.568827
0.18429, 0.568913
0.184521, 0.568999
0.184752, 0.569085
0.184983, 0.569171
0.185214, 0.569257
0.185445, 0.569343
0.185676, 0.569428
0.185907, 0.569514
0.186138, 0.5696
0.186369, 0.569686
0.1866, 0.569772
0.186831, 0.569858
0.187061, 0.569944
0.187292, 0.570029
0.187523, 0.570115
0.187754, 0.570201
0.187985, 0.570287
0.188216, 0.570373
0.188447, 0.570459
0.188678, 0.570544
0.188909, 0.57063
0.18914, 0.570716
0.189371, 0.570802
0.189602, 0.570888
0.189833, 0.570974
0.190064, 0.571059
0.190295, 0.571145
0.190526, 0.571231
0.190757, 0.571317
0.190987, 0.571403
0.191218, 0.571488
0.191449, 0.571574
0.19168, 0.57166
0.191911, 0.571746
0.192142, 0.571832
0.192373, 0.571917
0.192604, 0.572003
0.192835, 0.572089
0.193066, 0.572175
0.193297, 0.572261
0.193528, 0.572346
0.193759, 0.572432
0.19399, 0.572518
0.194221, 0.572604
0.194452, 0.57269
0.194683, 0.572775
0.194913, 0.572861
0.195144, 0.572947
0.195375, 0.573033
0.195606, 0.573118
0.195837, 0.573204
0.196068, 0.57329
0.196299, 0.573376
0.19653, 0.573462
0.196761, 0.573547
0.196992, 0.573633
0.197223, 0.573719
0.197454, 0.573805
0.197685, 0.57389
0.197916, 0.573976
0.198147, 0.574062
0.198378, 0.574148
0.198608, 0.574233
0.198839, 0.574319
0.19907, 0.574405
0.199301, 0.574491
0.199532, 0.574576
0.199763, 0.574662
0.199994, 0.574748
0.200225, 0.574834
0.200456, 0.574919
0.200687, 0.575005
0.200918, 0.575091
0.201149, 0.575176
0.20138, 0.575262
0.201611, 0.575348
0.201842, 0.575434
0.202073, 0.575519
0.202304, 0.575605
0.202534, 0.575691
0.202765, 0.575777
0.202996, 0.575862
0.203227, 0.575948
0.203458, 0.576034
0.203689, 0.576119
0.20392, 0.576205
0.204151, 0.576291
0.204382, 0.576376
0.204613, 0.576462
0.204844, 0.576548
0.205075, 0.576634
0.205306, 0.576719
0.205537, 0.576805
0.205768, 0.576891
0.205999, 0.576976
0.20623, 0.577062
0.20646, 0.577148
0.206691, 0.577233
0.206922, 0.577319
0.207153, 0.577405
0.207384, 0.57749
0.207615, 0.577576
0.207846, 0.577662
0.208077, 0.577747
0.208308, 0.577833
0.208539, 0.577919
0.20877, 0.578004
0.209001, 0.57809
0.209232, 0.578176
0.209463, 0.578261
0.209694, 0.578347
0.209925, 0.578433
0.210155, 0.578518
0.210386, 0.578604
0.210617, 0.57869
0.210848, 0.578775
0.211079, 0.578861
0.21131, 0.578946
0.211541, 0.579032
0.211772, 0.579118
0.212003, 0.579203
0.212234, 0.579289
0.212465, 0.579375
0.212696, 0.57946
0.212927, 0.579546
0.213158, 0.579631
0.213389, 0.579717
0.21362, 0.579803
0.213851, 0.579888
0.214081, 0.579974
0.214312, 0.58006
0.214543, 0.580145
0.214774, 0.580231
0.215005, 0.580316
0.215236, 0.580402
0.215467, 0.580488
0.215698, 0.580573
0.215929, 0.580659
0.21616, 0.580744
0.216391, 0.58083
0.216622, 0.580916
0.216853, 0.581001
0.217084, 0.581087
0.217315, 0.581172
0.217546, 0.581258
0.217777, 0.581343
0.218007, 0.581429
0.218238, 0.581515
0.218469, 0.5816
0.2187, 0.581686
0.218931, 0.581771
0.219162, 0.581857
0.219393, 0.581942
0.219624, 0.582028
0.219855, 0.582114
0.220086, 0.582199
0.220317, 0.582285
0.220548, 0.58237
0.220779, 0.582456
0.22101, 0.582541
0.221241, 0.582627
0.221472, 0.582712
0.221703, 0.582798
0.221933, 0.582883
0.222164, 0.582969
0.222395, 0.583055
0.222626, 0.58314
0.222857, 0.583226
0.223088, 0.583311
0.223319, 0.583397
0.22355, 0.583482
0.223781, 0.583568
0.224012, 0.583653
0.224243, 0.583739
0.224474, 0.583824
0.224705, 0.58391
0.224936, 0.583995
0.225167, 0.584081
0.225398, 0.584166
0.225628, 0.584252
0.225859, 0.584337
0.22609, 0.584423
0.226321, 0.584508
0.226552, 0.584594
0.226783, 0.584679
0.227014, 0.584765
0.227245, 0.58485
0.227476, 0.584936
0.227707, 0.585021
0.227938, 0.585107
0.228169, 0.585192
0.2284, 0.585278
0.228631, 0.585363
0.228862, 0.585449
0.229093, 0.585534
0.229324, 0.585619
0.229554, 0.585705
0.229785, 0.58579
0.230016, 0.585876
0.230247, 0.585961
0.230478, 0.586047
0.230709, 0.586132
0.23094, 0.586218
0.231171, 0.586303
0.231402, 0.586389
0.231633, 0.586474
0.231864, 0.586559
0.232095, 0.586645
0.232326, 0.58673
0.232557, 0.586816
0.232788, 0.586901
0.233019, 0.586987
0.23325, 0.587072
